index,source,asset_id,metadata_json,sprite_name,output,width,height,block,channels,alpha,pixel_transform,rotated_metadata,rect,original_size,sha256_png
0,release/remote/plant/native/fe/fe6bc747-2a65-4d56-bb3a-4d31af7af6f5.7005e.astc,fe6bc747-2a65-4d56-bb3a-4d31af7af6f5,release/remote/plant/import/fe/fe6bc747-2a65-4d56-bb3a-4d31af7af6f5%40f9941.17a64.json,Crop_193_Seed,0000_Crop_193_Seed__fe6bc747-2a65-4d56-bb3a-4d31af7af6f5.png,100,100,6x6x1,RGBA,straight,decoder_BGRA_to_PNG_RGBA,False,"{'x': 0, 'y': 0, 'width': 100, 'height': 100}","{'width': 100, 'height': 100}",c3e4f579dc5c2d94d6a305f54e29c7e5a7366dfcbc5dad42c7f67f7b08669e6f
1,release/remote/plant/native/fe/fe0f41fd-9080-4f11-9d76-84a6f9ef2739.45140.astc,fe0f41fd-9080-4f11-9d76-84a6f9ef2739,release/remote/plant/import/fe/fe0f41fd-9080-4f11-9d76-84a6f9ef2739%40f9941.50caa.json,Crop_1044_Seed,0001_Crop_1044_Seed__fe0f41fd-9080-4f11-9d76-84a6f9ef2739.png,100,100,6x6x1,RGBA,straight,decoder_BGRA_to_PNG_RGBA,False,"{'x': 0, 'y': 0, 'width': 100, 'height': 100}","{'width': 100, 'height': 100}",eb558057a4d59f37bc54cc53b5846f3885b37ac10a9bcdf1c08549fae52c9f17
2,release/remote/plant/native/fb/fb7c72ee-d9fc-4c4e-99bd-e0e0831f3e4e.8c0a9.astc,fb7c72ee-d9fc-4c4e-99bd-e0e0831f3e4e,release/remote/plant/import/fb/fb7c72ee-d9fc-4c4e-99bd-e0e0831f3e4e%40f9941.11b0e.json,Crop_267_Seed,0002_Crop_267_Seed__fb7c72ee-d9fc-4c4e-99bd-e0e0831f3e4e.png,100,100,6x6x1,RGBA,straight,decoder_BGRA_to_PNG_RGBA,False,"{'x': 0, 'y': 0, 'width': 100, 'height': 100}","{'width': 100, 'height': 100}",cc7337414bbbc0c7477aa21571eaed83d66807249a5c989bd6be217293f61e1b
3,release/remote/plant/native/fb/fb360624-b556-49bc-a86a-88ba924c860c.503c2.astc,fb360624-b556-49bc-a86a-88ba924c860c,release/remote/plant/import/fb/fb360624-b556-49bc-a86a-88ba924c860c%40f9941.95fe4.json,Crop_106_Seed,0003_Crop_106_Seed__fb360624-b556-49bc-a86a-88ba924c860c.png,100,100,6x6x1,RGBA,straight,decoder_BGRA_to_PNG_RGBA,False,"{'x': 21, 'y': 12, 'width': 69, 'height': 79}","{'width': 100, 'height': 100}",a2d4413cbc7fb7e3fc730df7c585bf28f5ff56bf8d602945d3a07fd0bbeb8380
4,release/remote/plant/native/fa/fa88b0bf-b545-4ea5-96a8-a12fa978ca28.00752.astc,fa88b0bf-b545-4ea5-96a8-a12fa978ca28,release/remote/plant/import/fa/fa88b0bf-b545-4ea5-96a8-a12fa978ca28%40f9941.bd55f.json,Crop_186_Seed,0004_Crop_186_Seed__fa88b0bf-b545-4ea5-96a8-a12fa978ca28.png,100,100,6x6x1,RGBA,straight,decoder_BGRA_to_PNG_RGBA,False,"{'x': 5, 'y': 5, 'width': 91, 'height': 91}","{'width': 100, 'height': 100}",960c16a16db1b978651e57fd353690b290f737529b35b7b62b8393cc788494ee
5,release/remote/plant/native/f2/f2c9919f-6240-4194-863e-9e30899de292.5ce9c.astc,f2c9919f-6240-4194-863e-9e30899de292,release/remote/plant/import/f2/f2c9919f-6240-4194-863e-9e30899de292%40f9941.3d519.json,Crop_184_Seed,0005_Crop_184_Seed__f2c9919f-6240-4194-863e-9e30899de292.png,100,100,6x6x1,RGBA,straight,decoder_BGRA_to_PNG_RGBA,False,"{'x': 0, 'y': 0, 'width': 100, 'height': 100}","{'width': 100, 'height': 100}",f554146f62d7a04670da50d45df83e89d45765d1dbc7746caf03eb624a8e446d
6,release/remote/plant/native/f0/f08dc7f9-8e84-429d-bde9-11c6ea661a79.80104.astc,f08dc7f9-8e84-429d-bde9-11c6ea661a79,release/remote/plant/import/f0/f08dc7f9-8e84-429d-bde9-11c6ea661a79%40f9941.78fd0.json,Crop_85_6,0006_Crop_85_6__f08dc7f9-8e84-429d-bde9-11c6ea661a79.png,150,150,6x6x1,RGBA,straight,decoder_BGRA_to_PNG_RGBA,False,"{'x': 2, 'y': 1, 'width': 137, 'height': 127}","{'width': 150, 'height': 150}",709499a845842052303ede8ad886dc332e9e2feb66369b0c533c5b2cfdd2f2ef
7,release/remote/plant/native/eb/eb8af4c8-bd98-468d-bbe9-05715623e634.50650.astc,eb8af4c8-bd98-468d-bbe9-05715623e634,release/remote/plant/import/eb/eb8af4c8-bd98-468d-bbe9-05715623e634%40f9941.9325f.json,Crop_6032_Seed,0007_Crop_6032_Seed__eb8af4c8-bd98-468d-bbe9-05715623e634.png,100,100,6x6x1,RGBA,straight,decoder_BGRA_to_PNG_RGBA,False,"{'x': 4, 'y': 4, 'width': 92, 'height': 92}","{'width': 100, 'height': 100}",61111e8939f9f2af169c8de6defc4af626222de638748dd7fae81ff770973dd4
8,release/remote/plant/native/eb/eb4a81a2-d541-48e3-9871-519f168c1d23.dc63c.astc,eb4a81a2-d541-48e3-9871-519f168c1d23,release/remote/plant/import/eb/eb4a81a2-d541-48e3-9871-519f168c1d23%40f9941.485af.json,Crop_804_Seed,0008_Crop_804_Seed__eb4a81a2-d541-48e3-9871-519f168c1d23.png,100,100,6x6x1,RGBA,straight,decoder_BGRA_to_PNG_RGBA,False,"{'x': 0, 'y': 0, 'width': 100, 'height': 100}","{'width': 100, 'height': 100}",8ab698655b2ba2b58b653351b43eb78b42673810ef0b65cf69c73730a6b609bb
9,release/remote/plant/native/eb/eb3fd597-28f9-46db-b7c9-235bc4203bb4.f9ebc.astc,eb3fd597-28f9-46db-b7c9-235bc4203bb4,release/remote/plant/import/eb/eb3fd597-28f9-46db-b7c9-235bc4203bb4%40f9941.5d218.json,Crop_109_Seed,0009_Crop_109_Seed__eb3fd597-28f9-46db-b7c9-235bc4203bb4.png,100,100,6x6x1,RGBA,straight,decoder_BGRA_to_PNG_RGBA,False,"{'x': 4, 'y': 4, 'width': 92, 'height': 92}","{'width': 100, 'height': 100}",b00505756e0e91eaae635b9b9c210251a28de75327603a02189f6a9a74003fbf
